Date,Open,High,Low,Close,Volume,Mean
2021-05-10 23:59:59.999,3924.41325439,4197.47327657,3684.45161614,3952.29387234,62691789006.63,3940.962446355
2021-05-11 23:59:59.999,3948.27190857,4178.20881516,3783.88947357,4168.70104865,52679737865.42,3981.049144365
2021-05-12 23:59:59.999,4174.63587254,4362.3505418,3785.84860304,3785.84860304,69023382175.45,4074.09957242
2021-05-13 23:59:59.999,3828.91836092,4032.5635388,3549.40719401,3715.14846639,78398214538.75,3790.9853664049997
2021-05-14 23:59:59.999,3720.12221785,4171.01696316,3703.39999909,4079.05745857,48174271215.31,3937.208481125
2021-05-15 23:59:59.999,4075.95155569,4129.18552263,3638.12204192,3638.12204192,42422321751.05,3883.653782275
2021-05-16 23:59:59.999,3641.83069793,3878.89597502,3350.95158829,3587.50620646,47359478733.83,3614.9237816550003
2021-05-17 23:59:59.999,3581.34294042,3587.7656099,3129.00885833,3282.39779583,54061732773.88,3358.387234115
2021-05-18 23:59:59.999,3276.87233937,3562.46515966,3246.40408372,3380.0700925,40416525218.24,3404.4346216900003
2021-05-19 23:59:59.999,3382.65714987,3437.93578796,1952.46023203,2460.67920048,84482912776.49,2695.198009995
2021-05-20 23:59:59.999,2439.63869914,2993.14518268,2170.22905763,2784.29415835,67610826679.69,2581.6871201550002
2021-05-21 23:59:59.999,2772.34127594,2938.20508382,2113.34714855,2430.62138539,53774070802.37,2525.776116185
2021-05-22 23:59:59.999,2436.01456723,2483.98311416,2168.12431696,2295.70565666,42089937660.13,2326.05371556
2021-05-23 23:59:59.999,2298.3670668,2384.41169702,1737.46874792,2109.57985208,56005721976.73,2060.9402224699998
2021-05-24 23:59:59.999,2099.93591438,2672.59567001,2090.63957366,2643.5909947,53697121740.17,2381.617621835
2021-05-25 23:59:59.999,2649.03321812,2750.53497919,2394.35556015,2706.62898111,49558333255.67,2572.44526967
2021-05-26 23:59:59.999,2707.05274042,2911.73570619,2652.09450965,2888.69868104,42499766019.91,2781.91510792
2021-05-27 23:59:59.999,2888.75238778,2888.75238778,2642.60784134,2736.48858585,33373635282.74,2765.68011456
2021-05-28 23:59:59.999,2742.46898406,2761.36336634,2336.36123343,2419.90629016,39999114804.5,2548.862299885
2021-05-29 23:59:59.999,2414.06718246,2566.93859706,2208.49092734,2279.51417661,33773720220.19,2387.7147622
2021-05-30 23:59:59.999,2278.28870326,2472.18781806,2188.83450392,2390.305302,25876619427.51,2330.51116099
